N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
2,word,rbf,200,10.0,1751,0.9135514018691588,8929
2,word,rbf,200,100.0,1390,0.9252336448598131,51610
2,word,rbf,200,1000.0,1303,0.9265687583444593,130266
2,word,rbf,200,10000.0,1430,0.9192256341789052,477342
2,word,poly,200,0.1,7000,0.5003337783711616,3500
2,word,poly,200,1.0,7000,0.5003337783711616,3500
2,word,poly,200,10.0,7000,0.5003337783711616,3500
2,word,poly,200,100.0,6999,0.5006675567423231,3507
2,word,poly,200,1000.0,6891,0.5380507343124166,3547
2,word,poly,200,10000.0,5701,0.7950600801068091,3753
2,pos,linear,500,0.1,1868,0.9082109479305741,10942
2,pos,linear,500,1.0,1574,0.9062082777036048,130214
2,pos,linear,500,10.0,1449,0.9038718291054739,2760260
2,pos,linear,500,100.0,1395,0.9025367156208278,10000000
2,pos,linear,500,1000.0,1482,0.900200267022697,10000000
2,pos,linear,500,10000.0,5657,0.8057409879839786,10000000
2,pos,rbf,500,0.1,5031,0.8501335113484646,2643
2,pos,rbf,500,1.0,3003,0.8858477970627503,1933
2,pos,rbf,500,10.0,2070,0.9078771695594126,4343
2,pos,rbf,500,100.0,1710,0.9118825100133512,22441
2,pos,rbf,500,1000.0,1653,0.9052069425901201,98196
2,pos,rbf,500,10000.0,1629,0.8895193591455274,300416
2,pos,poly,500,0.1,7000,0.5010013351134847,3500
2,pos,poly,500,1.0,6989,0.5053404539385847,3546
2,pos,poly,500,10.0,6663,0.5710947930574098,3586
2,pos,poly,500,100.0,5529,0.7029372496662216,3849
2,pos,poly,500,1000.0,4042,0.8157543391188251,7135
2,pos,poly,500,10000.0,2981,0.87716955941255,8994
3,word,linear,5000,0.1,5639,0.7429906542056075,5100
3,word,linear,5000,1.0,3842,0.8261014686248331,11567
3,word,linear,5000,10.0,2797,0.821762349799733,13946
3,word,linear,5000,100.0,2667,0.8210947930574098,14742
3,word,linear,5000,1000.0,2654,0.821762349799733,17397
3,word,linear,5000,10000.0,2654,0.8204272363150867,49056
3,word,rbf,5000,0.1,7000,0.5497329773030708,3500
3,word,rbf,5000,1.0,7000,0.5497329773030708,3500
3,word,rbf,5000,10.0,7000,0.5497329773030708,3500
3,word,rbf,5000,100.0,6264,0.6839118825100133,4264
3,word,rbf,5000,1000.0,4564,0.8070761014686249,11564
3,word,rbf,5000,10000.0,3276,0.822429906542056,23288
3,word,poly,5000,0.1,7000,0.49966622162883845,3500
3,word,poly,5000,1.0,7000,0.49966622162883845,3500
3,word,poly,5000,10.0,7000,0.49966622162883845,3500
3,word,poly,5000,100.0,7000,0.49966622162883845,3500
3,word,poly,5000,1000.0,7000,0.49966622162883845,3500
3,word,poly,5000,10000.0,7000,0.49966622162883845,3500
3,word,linear,1000,0.1,5542,0.7219626168224299,3856
3,word,linear,1000,1.0,3841,0.8027369826435247,6677
3,word,linear,1000,10.0,3161,0.8054072096128171,9486
3,word,linear,1000,100.0,3037,0.8044058744993324,13064
3,word,linear,1000,1000.0,3012,0.804739652870494,47513
3,word,linear,1000,10000.0,3027,0.8044058744993324,376010
3,word,rbf,1000,0.1,7000,0.5460614152202937,3500
3,word,rbf,1000,1.0,7000,0.5460614152202937,3500
3,word,rbf,1000,10.0,6563,0.6238317757009346,3675
3,word,rbf,1000,100.0,4771,0.7593457943925234,4022
3,word,rbf,1000,1000.0,3394,0.8004005340453939,27403
3,word,rbf,1000,10000.0,3124,0.80173564753004,49907
3,word,poly,1000,0.1,7000,0.5033377837116155,3500
3,word,poly,1000,1.0,7000,0.5033377837116155,3500
3,word,poly,1000,10.0,7000,0.5033377837116155,3500
3,word,poly,1000,100.0,7000,0.5033377837116155,3500
3,word,poly,1000,1000.0,7000,0.5033377837116155,3500
3,word,poly,1000,10000.0,7000,0.5033377837116155,3500
2s,pos,linear,200,0.1,2189,0.8861815754339119,15156
2s,pos,linear,200,1.0,1864,0.8875166889185581,147245
2s,pos,linear,200,10.0,1790,0.8885180240320427,4308882
2s,pos,linear,200,100.0,1791,0.8865153538050734,10000000
2s,pos,linear,200,1000.0,2033,0.8885180240320427,10000000
2s,pos,linear,200,10000.0,6466,0.6882510013351135,10000000
2s,pos,rbf,200,0.1,4532,0.8371161548731643,2471
2s,pos,rbf,200,1.0,3005,0.8791722296395194,2181
2s,pos,rbf,200,10.0,2178,0.8915220293724967,6851
2s,pos,rbf,200,100.0,1965,0.8898531375166889,36506
2s,pos,rbf,200,1000.0,1886,0.8898531375166889,132714
2s,pos,rbf,200,10000.0,1741,0.8678237650200267,317828
2s,pos,poly,200,0.1,6975,0.5093457943925234,3556
2s,pos,poly,200,1.0,6608,0.5694259012016022,3551
2s,pos,poly,200,10.0,5618,0.678237650200267,4223
2s,pos,poly,200,100.0,4314,0.7883845126835781,7162
2s,pos,poly,200,1000.0,3182,0.8461281708945261,12856
2s,pos,poly,200,10000.0,2463,0.8694926568758344,32390
2,word,linear,10000,0.1,2340,0.9302403204272364,6032
2,word,linear,10000,1.0,1866,0.942256341789052,8772
2,word,linear,10000,10.0,1597,0.9269025367156208,9376
2,word,linear,10000,100.0,1520,0.9198931909212283,12009
2,word,linear,10000,1000.0,1518,0.9198931909212283,13304
2,word,linear,10000,10000.0,1515,0.9202269692923899,22332
2,word,rbf,10000,0.1,7000,0.5774365821094793,3500
2,word,rbf,10000,1.0,7000,0.5774365821094793,3500
2,word,rbf,10000,10.0,5824,0.8154205607476636,3122
2,word,rbf,10000,100.0,3123,0.9038718291054739,3526
2,word,rbf,10000,1000.0,2265,0.9399198931909212,7580
2,word,rbf,10000,10000.0,1994,0.9419225634178905,11535
2,word,poly,10000,0.1,7000,0.4993324432576769,3500
2,word,poly,10000,1.0,7000,0.4993324432576769,3500
2,word,poly,10000,10.0,7000,0.4993324432576769,3500
2,word,poly,10000,100.0,7000,0.4993324432576769,3500
2,word,poly,10000,1000.0,7000,0.4993324432576769,3500
2,word,poly,10000,10000.0,7000,0.4993324432576769,3500
1,word,linear,1000,0.1,1569,0.9435914552736983,5642
1,word,linear,1000,1.0,1096,0.9455941255006676,44546
1,word,linear,1000,10.0,908,0.9188918558077437,190294
1,word,linear,1000,100.0,853,0.9048731642189586,518858
1,word,linear,1000,1000.0,928,0.8918558077436582,5399692
1,word,linear,1000,10000.0,952,0.8858477970627503,10000000
1,word,rbf,1000,0.1,6377,0.7913885180240321,3209
1,word,rbf,1000,1.0,3839,0.8848464619492656,2109
1,word,rbf,1000,10.0,2171,0.9315754339118825,2205
1,word,rbf,1000,100.0,1390,0.9479305740987984,8354
