N-GRAM SIZE,N-GRAM TARGET,KERNEL,VECSIZE,C,nSV,SCORE,ITERATIONS
1p,word,poly,500,100.0,6975,0.5123497997329773,3538
1p,word,poly,500,1000.0,6796,0.5427236315086782,3769
1p,word,poly,500,10000.0,6171,0.6211615487316422,4404
1p,word,poly,500,100000.0,5049,0.7216288384512684,5967
1p,word,poly,500,1000000.0,3807,0.8261014686248331,10630
2p,word,poly,10000,0.1,7000,0.4993324432576769,3500
2p,word,poly,10000,1.0,7000,0.4993324432576769,3500
2p,word,poly,10000,10.0,7000,0.4993324432576769,3500
2p,word,poly,10000,100.0,7000,0.4993324432576769,3500
2p,word,poly,10000,1000.0,7000,0.4993324432576769,3500
2p,word,poly,10000,10000.0,7000,0.4993324432576769,3500
2p,word,poly,10000,100000.0,7000,0.4993324432576769,3500
2p,word,poly,10000,1000000.0,7000,0.4993324432576769,3500
2sp,pos,poly,1000,0.1,7000,0.4993324432576769,3500
2sp,pos,poly,1000,1.0,7000,0.4993324432576769,3500
2sp,pos,poly,1000,10.0,7000,0.5,3517
2sp,pos,poly,1000,100.0,6989,0.5200267022696929,3586
2sp,pos,poly,1000,1000.0,6840,0.5283711615487316,3861
2sp,pos,poly,1000,10000.0,6327,0.5934579439252337,5073
2sp,pos,poly,1000,100000.0,5373,0.6755674232309746,7818
2sp,pos,poly,1000,1000000.0,4364,0.7683578104138852,17584
3p,word,poly,5000,0.1,7000,0.4993324432576769,3500
3p,word,poly,5000,1.0,7000,0.4993324432576769,3500
3p,word,poly,5000,10.0,7000,0.4993324432576769,3500
3p,word,poly,5000,100.0,7000,0.4993324432576769,3500
3p,word,poly,5000,1000.0,7000,0.4993324432576769,3500
3p,word,poly,5000,10000.0,7000,0.4993324432576769,3500
3p,word,poly,5000,100000.0,7000,0.4993324432576769,3500
3p,word,poly,5000,1000000.0,7000,0.4993324432576769,3500
2sp,word,poly,200,0.1,7000,0.5006675567423231,3500
2sp,word,poly,200,1.0,7000,0.5006675567423231,3500
2sp,word,poly,200,10.0,7000,0.5006675567423231,3500
2sp,word,poly,200,100.0,7000,0.5006675567423231,3500
